"position,""team"",""matches"",""wins_total"",""draws_total"",""lost_total"",""goals_scored"",""goals_received"",""goals_difference"",""wins_home"",""draws_home"",""losses_home"",""goals_scored_home"",""goals_received_home"",""goal_difference_home"",""wins_away"",""draws_away"",""losses_away"",""goals_scored_away"",""goals_received_away"",""goal_difference_away"",""total_goals_scored"",""total_goals_received"",""total_goal_difference"",""points_home"",""points_away"",""total_points"""
"1,""Bayer 04 Leverkusen"",34,28,6,0,89,24,65,14,3,0,47,11,36,14,3,0,42,13,29,89,24,65,45,45,90"
"2,""VfB Stuttgart"",34,23,4,7,78,39,39,13,3,1,50,15,35,10,1,6,28,24,4,78,39,39,42,31,73"
"3,""FC Bayern München"",34,23,3,8,94,45,49,14,1,2,53,12,41,9,2,6,41,33,8,94,45,49,43,29,72"
"4,""RB Leipzig"",34,19,8,7,77,39,38,11,4,2,40,12,28,8,4,5,37,27,10,77,39,38,37,28,65"
"5,""Borussia Dortmund"",34,18,9,7,68,43,25,10,3,4,37,22,15,8,6,3,31,21,10,68,43,25,33,30,63"
"6,""Eintracht Frankfurt"",34,11,14,9,51,50,1,7,8,2,29,21,8,4,6,7,22,29,-7,51,50,1,29,18,47"
"7,""TSG Hoffenheim"",34,13,7,14,66,66,0,6,5,6,31,31,0,7,2,8,35,35,0,66,66,0,23,23,46"
"8,""1. FC Heidenheim 1846"",34,10,12,12,50,55,-5,7,5,5,30,26,4,3,7,7,20,29,-9,50,55,-5,26,16,42"
"9,""SV Werder Bremen"",34,11,9,14,48,54,-6,7,4,6,29,26,3,4,5,8,19,28,-9,48,54,-6,25,17,42"
"10,""Sport-Club Freiburg"",34,11,9,14,45,58,-13,5,7,5,28,30,-2,6,2,9,17,28,-11,45,58,-13,22,20,42"
"11,""FC Augsburg"",34,10,9,17,50,60,-10,4,6,7,24,34,-10,6,3,10,26,26,0,50,60,-10,18,21,39"
"12,""VfL Wolfsburg"",34,10,7,17,41,56,-15,4,3,10,16,31,-15,6,4,7,25,25,-15,41,56,-15,16,21,37"
"13,""1. FSV Mainz 05"",34,7,14,13,39,51,-12,6,5,6,23,18,5,1,9,7,16,33,-17,39,51,-12,23,12,35"
"14,""Borussia Mönchengladbach"",34,7,13,14,56,67,-11,5,6,6,27,26,1,2,7,8,29,41,-12,56,67,-11,19,15,34"
"15,""FC Union Berlin"",34,9,6,19,33,58,-25,7,2,8,22,30,-8,2,4,11,11,28,-17,33,58,-25,23,10,33"
"16,""VfL Bochum 1848"",34,7,12,15,42,74,-32,5,8,4,26,29,-3,2,4,11,16,45,-29,42,74,-32,19,14,33"
"17,""1. FC Köln"",34,5,12,17,28,60,-32,4,4,9,15,28,-13,1,8,8,13,32,-19,28,60,-32,13,14,27"
"18,""SV Darmstadt 98"",34,3,8,23,30,86,-56,1,3,13,15,44,-29,2,5,10,15,42,-27,30,86,-56,5,6,17"
